loan_status,grade,sub_grade,verification_status,purpose,term,initial_list_status,emp_length,home_ownership,application_type,loan_amnt,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,issue_d,earliest_cr_line,installment,int_rate,fico_range_low,fico_range_high,last_pymnt_amnt,last_pymnt_d,total_rec_int,addr_state,zip_code
Fully Paid,A,A4,Verified,moving,36 months,w,5 years,MORTGAGE,INDIVIDUAL,13654.00,146579.79,0.1715,0,0,10,1,9109.67,49.6154,32,2,0,Feb-2016,Apr-2013,409.41,8.8279,638,642,405.92,Nov-2016,599.85,NJ,863xx
Current,A,A1,Source Verified,car,36 months,w,1 year,ANY,JOINT,17928.00,77966.14,0.1517,0,1,16,0,40379.56,76.0193,19,4,0,Aug-2014,Mar-2012,620.97,27.4362,661,665,627.53,Nov-2015,821.27,NC,634xx
Fully Paid,D,D5,Source Verified,wedding,36 months,w,4 years,RENT,INDIVIDUAL,7639.00,112256.25,0.2142,1,2,11,0,21659.62,66.8700,31,0,0,May-2015,May-1988,249.29,19.4244,824,828,263.64,May-2016,539.53,FL,984xx
Fully Paid,A,A3,Source Verified,wedding,36 months,w,5 years,MORTGAGE,INDIVIDUAL,26862.00,56322.90,0.1427,0,2,4,0,22207.57,37.4505,7,2,0,Jan-2022,Jan-1994,822.11,11.3090,638,642,831.30,Nov-2022,1381.07,FL,522xx
Fully Paid,D,D3,Verified,debt_consolidation,36 months,w,8 years,RENT,INDIVIDUAL,27850.00,194087.68,0.1400,1,1,15,1,23557.78,52.5508,37,4,1,Feb-2015,Apr-2001,819.11,6.5345,616,620,849.21,Jan-2016,993.66,FL,987xx
Default,A,A1,Source Verified,small_business,36 months,w,5 years,OWN,INDIVIDUAL,18666.00,166233.27,0.2015,2,0,7,0,15165.54,81.4011,18,2,1,Jan-2017,Aug-1991,645.22,27.1554,643,647,630.18,Jun-2018,700.72,IL,185xx
Fully Paid,F,F2,Not Verified,credit_card,60 months,f,2 years,MORTGAGE,INDIVIDUAL,17240.00,199230.11,0.1783,2,1,10,0,23005.99,33.9997,27,3,0,May-2019,Jan-2013,402.75,22.3162,765,769,385.47,Jul-2020,1009.02,NJ,382xx
Fully Paid,C,C4,Verified,house,36 months,w,< 1 year,OWN,INDIVIDUAL,10439.00,48837.23,0.2153,1,5,6,1,3506.43,15.5609,10,7,0,Feb-2018,Oct-2013,343.61,20.5543,789,793,360.16,Aug-2018,321.88,AZ,251xx
Fully Paid,E,E3,Not Verified,house,36 months,f,8 years,ANY,JOINT,12999.00,150297.40,0.3101,0,2,5,1,17118.77,66.1887,27,4,0,Mar-2015,Mar-2000,425.46,19.8083,738,742,429.00,Aug-2015,81.49,NJ,933xx
Current,A,A4,Verified,credit_card,60 months,f,4 years,OWN,INDIVIDUAL,22268.00,154593.90,0.0882,0,3,6,0,25218.03,51.9424,20,2,0,Jan-2016,Jun-1994,493.17,18.2676,626,630,454.96,May-2017,1670.61,NJ,560xx
Current,B,B2,Source Verified,moving,36 months,f,9 years,MORTGAGE,INDIVIDUAL,24528.00,151125.63,0.2092,0,1,12,1,9640.82,70.8144,13,4,0,Aug-2014,Nov-2006,838.80,25.6797,757,761,856.72,Jun-2015,1403.68,WA,277xx
Fully Paid,D,D5,Source Verified,moving,36 months,w,9 years,OWN,INDIVIDUAL,18262.00,71653.15,0.1535,1,0,14,1,1289.86,44.3505,43,8,0,Dec-2018,Feb-2005,549.97,9.3504,731,735,564.25,Feb-2020,791.17,NY,690xx
Current,B,B5,Not Verified,small_business,36 months,f,8 years,ANY,INDIVIDUAL,10900.00,42451.40,0.1605,0,1,4,0,7524.39,40.3221,14,2,0,Oct-2021,Jul-2020,324.61,8.0117,735,739,316.48,Dec-2022,192.43,FL,435xx
Current,A,A5,Verified,renewable_energy,36 months,f,4 years,ANY,INDIVIDUAL,9632.00,81134.06,0.1224,0,2,14,1,13145.70,58.0467,22,2,0,Feb-2019,Nov-2002,300.93,13.8598,632,636,319.89,Jul-2020,170.19,NY,679xx
Current,B,B5,Verified,small_business,36 months,w,2 years,OWN,INDIVIDUAL,24212.00,47029.49,0.2287,1,2,13,1,264.01,33.5082,24,2,0,Sep-2017,Sep-2011,754.04,13.4614,662,666,763.36,Jan-2018,182.40,TX,739xx
Fully Paid,A,A5,Source Verified,renewable_energy,36 months,f,< 1 year,OWN,INDIVIDUAL,8144.00,49488.23,0.1549,2,1,1,0,29945.99,61.3300,29,4,0,Jul-2021,Jun-1997,276.57,24.7311,734,738,275.77,Aug-2021,684.48,IL,535xx
Fully Paid,C,C2,Verified,renewable_energy,36 months,w,7 years,MORTGAGE,INDIVIDUAL,38106.00,174660.61,0.3658,1,4,10,1,2330.65,59.7884,11,0,0,Sep-2020,Mar-2013,1179.74,12.7269,661,665,1161.72,Feb-2021,1319.96,NC,753xx
Fully Paid,D,D1,Not Verified,credit_card,36 months,w,4 years,ANY,JOINT,38462.00,72734.34,0.2277,1,3,13,0,9644.10,64.0463,24,0,0,Jan-2021,Oct-1995,1254.28,19.3324,659,663,1273.15,May-2022,3087.60,NJ,157xx
Current,D,D3,Not Verified,renewable_energy,36 months,w,5 years,OWN,JOINT,19969.00,109753.46,0.0856,1,4,8,2,21745.83,40.6152,16,2,0,Jul-2019,Jan-2017,644.53,17.9948,789,793,631.75,Oct-2020,1738.91,GA,272xx
Fully Paid,E,E2,Verified,medical,36 months,w,2 years,MORTGAGE,INDIVIDUAL,30270.00,116327.66,0.0726,1,2,3,1,13399.44,38.4086,6,3,0,Mar-2016,Oct-1990,883.95,5.6981,651,655,882.36,Feb-2017,457.04,WA,793xx
Current,D,D2,Source Verified,credit_card,36 months,f,1 year,MORTGAGE,INDIVIDUAL,23677.00,22948.88,0.2510,0,2,7,0,17959.36,22.5265,7,5,0,Feb-2016,Nov-1986,818.26,27.1261,588,592,834.45,Dec-2016,3722.31,IL,434xx
Fully Paid,C,C4,Verified,home_improvement,60 months,f,6 years,RENT,JOINT,24676.00,83887.78,0.1220,1,3,5,1,1611.94,61.5686,21,0,0,Jan-2022,Nov-1994,548.13,18.4877,746,750,523.90,Mar-2022,521.21,CA,346xx
Current,A,A3,Not Verified,car,36 months,w,6 years,ANY,INDIVIDUAL,4595.00,119619.65,0.1788,1,0,13,1,36630.29,48.2338,27,2,0,Aug-2020,Jan-1993,150.60,19.9872,809,813,153.58,Sep-2021,427.20,NY,662xx
Current,E,E2,Not Verified,car,36 months,f,5 years,OWN,INDIVIDUAL,15696.00,97716.41,0.0240,0,1,10,0,33009.84,60.1373,15,6,0,Jul-2018,Dec-2005,509.13,18.6366,666,670,544.26,Jul-2018,477.88,NJ,895xx
Current,D,D1,Not Verified,wedding,60 months,w,4 years,ANY,INDIVIDUAL,28661.00,170928.34,0.2919,1,0,7,1,14694.68,63.1970,12,2,0,Aug-2020,Jan-2003,643.97,19.3394,765,769,649.83,Mar-2021,1632.17,NC,377xx
Fully Paid,C,C2,Verified,medical,60 months,w,2 years,MORTGAGE,INDIVIDUAL,7335.00,100156.23,0.0973,1,2,5,0,17420.56,80.2105,14,3,0,Oct-2015,Feb-2006,178.21,25.4301,606,610,181.24,Mar-2017,831.32,NC,700xx
Fully Paid,C,C2,Verified,renewable_energy,36 months,w,8 years,OWN,JOINT,35792.00,18088.89,0.2067,1,2,7,0,26926.25,41.0528,30,3,0,Apr-2021,Mar-2006,1093.87,11.1366,702,706,1099.40,Apr-2021,869.54,CA,117xx
Current,A,A3,Not Verified,major_purchase,36 months,w,1 year,ANY,INDIVIDUAL,2183.00,199801.33,0.1564,2,2,13,1,21279.73,41.8001,23,4,0,Sep-2022,Nov-2013,67.81,13.1436,600,604,97.71,Apr-2023,3.26,CA,439xx
Current,F,F3,Source Verified,other,36 months,w,5 years,OWN,INDIVIDUAL,16459.00,105468.02,0.1942,2,1,4,1,4423.26,34.6616,5,3,0,Aug-2020,Dec-1993,503.08,11.1507,720,724,488.29,Dec-2020,676.57,CA,514xx
Fully Paid,A,A5,Source Verified,car,60 months,f,9 years,OWN,INDIVIDUAL,28171.00,84096.67,0.0656,2,4,7,0,39670.19,43.0630,14,2,0,Sep-2015,Dec-2007,673.77,24.1687,733,737,680.75,Jun-2016,743.54,IL,273xx
Fully Paid,F,F4,Verified,debt_consolidation,36 months,w,4 years,OWN,JOINT,39883.00,61752.37,0.1882,0,3,1,1,16990.65,46.8084,25,1,0,Dec-2017,Dec-2005,1234.62,12.7126,623,627,1242.33,Jan-2018,642.32,NY,789xx
Fully Paid,C,C4,Source Verified,small_business,36 months,w,7 years,RENT,INDIVIDUAL,2408.00,28094.16,0.3160,0,3,11,0,2158.95,52.3507,20,2,0,Dec-2018,Jan-2003,72.55,9.4101,731,735,61.89,Jul-2019,36.29,GA,450xx
Fully Paid,E,E5,Source Verified,debt_consolidation,36 months,w,6 years,RENT,INDIVIDUAL,31675.00,113426.47,0.1846,1,3,10,0,12690.19,57.1804,36,4,0,May-2022,Jul-2003,1089.86,26.5190,610,614,1110.19,May-2022,4264.39,NJ,896xx
Current,D,D1,Not Verified,other,36 months,w,10+ years,RENT,JOINT,6000.00,180158.90,0.2274,1,1,2,1,1101.14,35.4269,2,1,0,Jul-2016,Dec-1991,207.25,27.0531,730,734,201.16,May-2017,533.80,TX,240xx
In Grace Period,D,D5,Not Verified,major_purchase,36 months,f,3 years,OWN,INDIVIDUAL,39050.00,45149.77,0.2140,1,2,24,1,109.11,48.2044,50,3,1,Nov-2017,Feb-2000,1164.17,8.1379,638,642,1205.03,Apr-2018,1687.18,NC,124xx
Current,A,A2,Source Verified,vacation,36 months,w,8 years,MORTGAGE,INDIVIDUAL,12230.00,122727.73,0.0272,2,1,13,0,4736.40,51.0715,27,3,0,Jun-2015,Nov-1987,421.24,26.6627,611,615,411.09,Nov-2015,1585.89,IL,480xx
Fully Paid,B,B1,Not Verified,wedding,60 months,f,5 years,ANY,JOINT,32296.00,162042.70,0.2892,0,1,5,1,4959.49,51.4423,15,1,0,Apr-2019,Jul-2005,691.00,15.7637,746,750,705.78,Jan-2020,2212.32,NJ,469xx
Late (16-30 days),E,E1,Verified,wedding,36 months,f,< 1 year,OWN,JOINT,39496.00,174468.03,0.1344,2,2,8,0,23958.88,49.3818,23,1,0,Jul-2019,Mar-1995,1352.28,25.8425,628,632,1344.73,Sep-2020,982.00,NJ,324xx
Fully Paid,F,F5,Source Verified,renewable_energy,36 months,f,2 years,RENT,INDIVIDUAL,30996.00,107298.27,0.1359,1,0,12,1,1836.22,47.2740,22,1,0,Oct-2016,Jun-1988,988.62,16.4688,803,807,990.98,Feb-2018,1341.70,TX,653xx
Fully Paid,F,F5,Not Verified,credit_card,36 months,w,< 1 year,MORTGAGE,INDIVIDUAL,3962.00,121568.91,0.1495,1,1,2,1,12159.79,37.7416,10,0,1,Sep-2015,Aug-1998,129.70,19.8329,699,703,128.37,Nov-2015,291.03,NC,838xx
Current,C,C5,Verified,credit_card,36 months,w,8 years,ANY,INDIVIDUAL,28727.00,127792.29,0.2710,1,2,12,0,5288.52,25.3635,18,2,0,Oct-2020,Nov-1995,993.52,27.2284,699,703,990.18,Nov-2020,3120.44,NJ,434xx
Fully Paid,C,C1,Source Verified,car,60 months,f,10+ years,ANY,INDIVIDUAL,35647.00,105763.53,0.0690,1,2,11,0,15687.29,65.8383,16,2,0,May-2014,Jan-2007,767.27,16.1916,764,768,746.79,Oct-2014,948.23,TX,124xx
Fully Paid,D,D4,Verified,wedding,36 months,f,4 years,ANY,INDIVIDUAL,22359.00,19340.40,0.0124,1,3,14,1,4899.72,75.2732,43,3,1,Mar-2020,Jul-1996,659.86,6.9363,694,698,641.21,Aug-2020,757.37,TX,782xx
Fully Paid,A,A2,Not Verified,debt_consolidation,60 months,w,7 years,MORTGAGE,INDIVIDUAL,21086.00,173938.86,0.0799,0,0,10,1,11435.72,65.3033,10,4,0,Sep-2018,Dec-2000,515.47,25.9317,814,818,543.38,Dec-2018,2435.68,NY,390xx
Fully Paid,C,C3,Not Verified,small_business,36 months,w,3 years,OWN,INDIVIDUAL,15360.00,135988.23,0.2013,1,2,12,0,8224.79,92.9623,26,1,0,May-2018,Jul-2006,456.96,7.8888,705,709,489.93,Jul-2019,256.51,GA,943xx
Current,D,D3,Source Verified,house,60 months,f,9 years,RENT,INDIVIDUAL,31619.00,56642.41,0.1136,0,3,3,0,3438.86,57.0551,28,2,0,Nov-2017,Feb-1987,686.14,16.7790,701,705,685.09,Feb-2019,852.64,TX,845xx
Late (16-30 days),F,F3,Source Verified,moving,36 months,w,1 year,MORTGAGE,INDIVIDUAL,2675.00,20078.28,0.2921,1,2,5,0,16833.46,45.7701,7,1,1,Aug-2018,Dec-1996,86.40,18.0802,674,678,52.10,Aug-2018,0.00,NY,471xx
Fully Paid,D,D3,Not Verified,moving,36 months,f,10+ years,RENT,JOINT,15924.00,34743.39,0.1814,2,3,11,1,4744.37,79.6095,36,1,0,Oct-2022,Sep-2016,505.39,15.8395,690,694,505.20,Jun-2023,816.01,AZ,171xx
Fully Paid,D,D5,Verified,other,36 months,w,10+ years,MORTGAGE,JOINT,5493.00,182262.76,0.1052,0,1,15,0,728.41,15.8411,36,1,0,Sep-2020,Apr-2019,167.48,10.8452,616,620,216.52,Dec-2021,256.50,FL,818xx
Current,E,E1,Verified,vacation,36 months,w,5 years,OWN,INDIVIDUAL,7480.00,48430.90,0.2082,2,8,3,1,5358.45,56.6698,32,2,0,Dec-2017,Jun-2014,247.20,21.0827,672,676,219.23,Jun-2018,853.59,NC,632xx
Fully Paid,A,A2,Verified,major_purchase,36 months,w,1 year,ANY,JOINT,36425.00,82974.92,0.1842,0,3,11,0,8441.79,54.6048,32,1,0,Jun-2015,Aug-1999,1178.75,18.3331,584,588,1165.62,Jul-2016,655.56,TX,470xx
Fully Paid,B,B3,Not Verified,moving,60 months,f,8 years,ANY,JOINT,34299.00,207808.70,0.3220,0,2,9,1,14660.99,51.0093,16,4,0,Jan-2020,Jul-1994,643.57,6.9897,826,830,639.43,Apr-2020,1110.61,AZ,390xx
Current,C,C2,Verified,major_purchase,36 months,f,2 years,ANY,INDIVIDUAL,26344.00,57682.61,0.1512,2,2,7,1,6051.37,42.1782,27,1,0,Dec-2020,Sep-2003,886.37,23.4730,581,585,867.10,Dec-2020,3101.65,NY,650xx
Current,E,E1,Source Verified,debt_consolidation,60 months,f,8 years,RENT,JOINT,15201.00,200126.41,0.2236,3,3,1,1,23369.62,38.8988,22,1,0,Oct-2022,Jan-1992,329.92,16.7895,657,661,326.59,Nov-2022,1365.99,CA,578xx
Fully Paid,C,C1,Not Verified,renewable_energy,36 months,f,7 years,MORTGAGE,INDIVIDUAL,26649.00,218969.04,0.1204,3,0,1,0,35907.05,59.7971,24,1,0,Jul-2019,May-2018,871.11,19.6417,694,698,834.31,Nov-2019,25.96,GA,523xx
Current,A,A4,Verified,renewable_energy,36 months,w,8 years,OWN,INDIVIDUAL,17867.00,64785.08,0.1133,1,1,7,1,18641.75,14.5589,24,0,0,Sep-2015,May-1997,572.69,17.0996,757,761,573.77,Jan-2017,820.33,CA,518xx
Current,C,C4,Source Verified,car,60 months,f,4 years,MORTGAGE,INDIVIDUAL,14909.00,230007.41,0.1920,1,5,3,0,31924.16,43.4702,11,9,0,Feb-2021,Dec-2006,284.65,8.0858,734,738,265.37,Jun-2022,640.71,FL,739xx
Current,B,B2,Not Verified,debt_consolidation,36 months,w,1 year,ANY,JOINT,11480.00,72270.82,0.2024,1,0,10,0,34902.12,57.9899,24,1,0,Sep-2016,May-2002,368.24,17.1972,649,653,350.54,Sep-2016,1100.57,FL,986xx
Fully Paid,E,E3,Not Verified,credit_card,60 months,w,7 years,ANY,INDIVIDUAL,32439.00,71149.08,0.0596,2,3,6,1,1699.99,33.8691,7,3,0,Feb-2021,May-2012,797.19,26.3609,734,738,766.25,Feb-2022,2371.22,CA,527xx
Fully Paid,E,E3,Not Verified,renewable_energy,60 months,f,3 years,MORTGAGE,JOINT,11669.00,114129.30,0.2168,0,0,17,0,7679.05,40.8875,34,3,0,Apr-2017,Feb-2010,239.59,12.8838,672,676,238.24,Feb-2018,324.72,TX,125xx
Fully Paid,B,B2,Verified,car,36 months,w,10+ years,OWN,INDIVIDUAL,28553.00,28454.51,0.1346,0,2,3,2,9725.07,53.1979,15,2,0,Dec-2021,Feb-2019,867.59,10.4302,593,597,897.66,Jan-2022,1143.58,NJ,830xx
Current,B,B1,Source Verified,wedding,36 months,w,10+ years,RENT,INDIVIDUAL,30185.00,235863.39,0.0647,1,0,9,0,7336.11,33.3732,14,3,0,Mar-2018,May-1990,942.13,13.7364,622,626,951.32,Feb-2019,2346.17,NY,884xx
Fully Paid,B,B4,Source Verified,home_improvement,36 months,w,7 years,MORTGAGE,INDIVIDUAL,15180.00,212047.64,0.2831,2,2,8,0,4398.61,85.4367,20,2,0,Nov-2021,Apr-2013,516.95,25.1083,787,791,503.44,Dec-2022,1681.20,GA,149xx
Fully Paid,B,B2,Verified,moving,60 months,w,4 years,MORTGAGE,INDIVIDUAL,25320.00,141594.28,0.2043,1,1,12,0,4335.69,70.8275,25,2,0,Jun-2019,Feb-1999,515.25,12.2760,636,640,533.39,Aug-2019,237.21,NY,532xx
Current,E,E3,Verified,vacation,36 months,f,8 years,MORTGAGE,JOINT,14577.00,145362.30,0.2208,1,3,17,0,4614.96,39.0552,36,2,0,Sep-2015,Sep-2003,457.58,14.4507,670,674,438.89,Jan-2017,492.66,AZ,657xx
Current,E,E1,Source Verified,moving,36 months,f,1 year,RENT,JOINT,3893.00,129641.45,0.1785,1,3,4,0,23924.76,56.3726,33,1,0,Jul-2022,May-2005,128.18,20.5880,754,758,126.89,Jul-2022,54.41,NC,459xx
Current,C,C2,Not Verified,wedding,36 months,f,1 year,OWN,INDIVIDUAL,15123.00,235851.45,0.1796,0,2,16,0,911.82,17.0202,23,2,0,Nov-2014,Apr-1994,500.75,21.3372,615,619,485.78,Jan-2015,1054.14,WA,320xx
Current,B,B2,Verified,house,36 months,f,7 years,OWN,INDIVIDUAL,1435.00,93810.80,0.2167,0,1,13,1,3219.87,52.6748,15,2,0,Dec-2018,Apr-2007,47.22,20.5064,784,788,41.14,Apr-2020,32.50,AZ,850xx
Fully Paid,E,E3,Not Verified,renewable_energy,36 months,w,< 1 year,ANY,INDIVIDUAL,1118.00,150479.07,0.1773,1,4,9,0,13110.73,43.7570,22,1,0,May-2014,Mar-2006,37.38,22.6308,727,731,48.00,Sep-2015,139.53,IL,550xx
Fully Paid,E,E2,Verified,credit_card,36 months,w,1 year,OWN,JOINT,33477.00,185382.58,0.2775,1,0,1,0,15191.74,55.7805,17,4,0,Jul-2015,Sep-2003,981.48,6.1616,600,604,996.77,May-2016,265.24,IL,675xx
Fully Paid,A,A3,Verified,moving,60 months,w,2 years,MORTGAGE,JOINT,16511.00,82483.44,0.1131,3,1,12,1,18331.86,36.8177,32,1,0,Jan-2015,Aug-2005,410.75,27.3692,587,591,422.56,Mar-2016,731.95,TX,252xx
Fully Paid,D,D1,Source Verified,moving,36 months,f,< 1 year,MORTGAGE,INDIVIDUAL,25463.00,181743.86,0.1560,0,0,1,0,18437.33,63.8272,1,3,0,Nov-2016,Apr-2009,791.60,13.2412,805,809,762.52,Aug-2017,269.57,AZ,881xx
Fully Paid,E,E5,Source Verified,wedding,36 months,f,9 years,MORTGAGE,INDIVIDUAL,31029.00,152063.73,0.1074,2,2,8,0,3380.14,25.7656,22,1,0,Apr-2019,Sep-1997,982.40,15.5312,605,609,943.99,Sep-2019,183.91,CA,706xx
Fully Paid,D,D4,Source Verified,renewable_energy,36 months,f,4 years,OWN,INDIVIDUAL,38230.00,151806.07,0.1819,0,2,13,0,1149.05,60.8515,42,5,0,Sep-2018,May-1989,1130.57,7.1802,590,594,1120.32,Apr-2019,736.42,NJ,885xx
Fully Paid,C,C5,Not Verified,vacation,36 months,w,1 year,MORTGAGE,INDIVIDUAL,25066.00,170204.97,0.0636,1,4,4,1,40914.86,36.1352,21,0,0,Apr-2018,Jan-1999,757.77,9.8131,726,730,743.74,Apr-2018,1325.37,GA,794xx
Fully Paid,B,B4,Source Verified,major_purchase,36 months,f,6 years,MORTGAGE,INDIVIDUAL,19771.00,204003.62,0.1937,0,5,3,0,26427.72,31.0014,6,4,1,Apr-2018,Feb-1993,669.69,24.3785,783,787,682.54,Jul-2019,2054.42,TX,183xx
Current,A,A3,Source Verified,car,36 months,f,6 years,MORTGAGE,JOINT,15740.00,209641.84,0.2116,0,2,11,0,2557.70,80.9285,25,2,0,Apr-2019,Aug-2016,538.08,25.6297,713,717,522.18,Jul-2020,1930.94,NC,316xx
Current,C,C2,Verified,major_purchase,36 months,w,5 years,ANY,INDIVIDUAL,20485.00,189562.23,0.2292,2,0,2,0,10394.13,59.7843,15,5,0,Aug-2015,Aug-2009,679.44,21.5601,695,699,700.84,Jun-2016,649.06,NC,488xx
Current,C,C5,Verified,renewable_energy,36 months,f,2 years,RENT,INDIVIDUAL,2553.00,171143.01,0.1022,2,2,14,1,24475.45,11.8527,40,3,0,Mar-2015,Mar-1996,88.11,26.9320,807,811,103.14,Jun-2015,76.47,NJ,346xx
Current,A,A5,Source Verified,vacation,36 months,w,4 years,RENT,INDIVIDUAL,3669.00,200731.71,0.1623,0,0,13,1,35496.07,23.5253,39,8,1,May-2014,Mar-2005,112.55,11.5955,796,800,132.65,Sep-2014,191.16,CA,674xx
Current,D,D2,Not Verified,home_improvement,60 months,f,1 year,ANY,INDIVIDUAL,10822.00,134829.45,0.1835,1,4,16,1,35499.33,56.8053,41,3,0,May-2015,Mar-2012,250.09,21.4746,657,661,232.79,May-2016,1008.12,GA,575xx
Fully Paid,B,B5,Source Verified,moving,60 months,w,10+ years,RENT,INDIVIDUAL,5989.00,36159.82,0.1182,1,0,13,0,23969.36,22.7774,31,1,0,Sep-2018,May-2017,140.83,22.8287,775,779,122.37,Apr-2019,663.36,CA,160xx
Fully Paid,A,A3,Verified,vacation,36 months,w,5 years,MORTGAGE,INDIVIDUAL,39937.00,96393.99,0.0981,1,1,7,0,19364.81,29.7504,34,2,0,Aug-2021,Nov-2011,1382.37,27.3441,758,762,1355.88,Jul-2022,4714.36,GA,980xx
Current,C,C1,Source Verified,car,36 months,f,3 years,MORTGAGE,INDIVIDUAL,13795.00,153595.57,0.2113,1,3,8,0,1110.13,73.2786,37,3,0,Mar-2017,Dec-1992,421.17,11.0114,701,705,439.56,Jun-2017,463.38,FL,962xx
Fully Paid,A,A3,Source Verified,house,36 months,f,3 years,ANY,JOINT,27067.00,118691.41,0.2652,0,2,7,0,10261.83,39.8629,16,3,0,Jun-2015,Nov-1990,826.01,10.9573,654,658,829.12,Jul-2015,1762.85,AZ,971xx
Fully Paid,E,E1,Not Verified,vacation,36 months,w,3 years,ANY,INDIVIDUAL,13425.00,131139.10,0.0604,0,1,11,0,6195.14,54.7511,36,5,0,Feb-2022,May-2020,394.13,6.3210,589,593,439.39,Apr-2022,444.02,AZ,628xx
Current,B,B2,Source Verified,medical,36 months,f,1 year,RENT,INDIVIDUAL,1959.00,58665.54,0.1057,1,3,21,0,29304.62,40.0794,35,1,0,Apr-2014,Jul-1986,66.72,25.1176,792,796,79.21,Apr-2015,164.44,GA,209xx
Fully Paid,E,E1,Not Verified,debt_consolidation,36 months,f,4 years,OWN,INDIVIDUAL,13843.00,158449.66,0.2524,0,1,9,0,33643.21,64.5834,22,1,0,Jun-2016,Aug-2002,428.76,12.7814,743,747,459.43,Jun-2017,1057.65,AZ,195xx
Current,E,E2,Verified,renewable_energy,36 months,w,7 years,MORTGAGE,INDIVIDUAL,37871.00,79407.74,0.1603,0,3,9,0,53848.43,37.9193,31,5,0,May-2022,Nov-1996,1266.16,22.6226,783,787,1271.07,Nov-2022,119.75,NC,424xx
Fully Paid,D,D5,Not Verified,car,36 months,w,5 years,RENT,JOINT,5018.00,146369.86,0.1583,1,4,19,1,10273.65,51.3310,21,3,0,Oct-2019,Apr-1995,147.05,6.1081,701,705,83.36,Aug-2020,99.57,IL,471xx
In Grace Period,E,E2,Source Verified,debt_consolidation,36 months,w,10+ years,ANY,INDIVIDUAL,1113.00,91592.42,0.4181,2,1,1,1,11866.62,51.1035,14,1,0,Apr-2021,Apr-1992,35.04,14.8049,607,611,22.10,Nov-2021,79.46,GA,561xx
Current,C,C4,Not Verified,moving,36 months,f,3 years,RENT,INDIVIDUAL,13335.00,228065.15,0.1450,2,2,10,1,15511.43,53.1191,11,2,0,Aug-2018,Dec-2003,444.97,22.3627,778,782,479.19,Oct-2018,323.73,WA,459xx
Current,D,D5,Verified,major_purchase,36 months,w,6 years,OWN,INDIVIDUAL,2904.00,144411.53,0.0812,0,1,7,0,9297.06,66.9710,17,0,0,Mar-2018,Jul-1992,95.56,20.5190,696,700,117.71,Oct-2018,291.83,AZ,176xx
Current,D,D4,Not Verified,medical,36 months,f,1 year,ANY,INDIVIDUAL,39390.00,227764.51,0.1684,0,0,5,0,18752.07,47.7564,6,6,1,Oct-2019,Oct-2015,1152.20,5.8928,661,665,1148.17,Jan-2021,271.36,CA,208xx
Current,A,A5,Verified,credit_card,36 months,f,2 years,OWN,INDIVIDUAL,30321.00,194672.85,0.1314,0,2,3,1,5284.36,59.1881,7,3,0,Oct-2022,Dec-2007,957.67,15.2259,726,730,948.73,Dec-2023,1040.58,WA,475xx
Fully Paid,A,A1,Source Verified,debt_consolidation,60 months,w,6 years,ANY,INDIVIDUAL,3607.00,210637.12,0.2265,0,1,4,1,32638.94,23.3381,20,2,0,Aug-2019,Jul-2005,73.05,11.9525,668,672,107.05,Sep-2019,231.06,FL,973xx
Current,E,E3,Source Verified,major_purchase,36 months,f,< 1 year,ANY,INDIVIDUAL,36472.00,124133.24,0.1961,2,0,17,0,5021.40,37.6463,24,3,1,Dec-2014,Sep-1993,1180.73,18.3837,687,691,1187.63,Feb-2016,16.84,NC,788xx
Current,E,E5,Not Verified,wedding,60 months,w,8 years,OWN,JOINT,28940.00,142128.31,0.1984,1,2,2,1,13698.21,65.3815,3,4,0,Mar-2020,Jun-2015,678.95,22.6469,735,739,654.37,Apr-2020,804.67,CA,333xx
Fully Paid,G,G4,Verified,home_improvement,36 months,f,5 years,ANY,INDIVIDUAL,1114.00,81834.44,0.2679,1,1,16,0,31481.84,44.2467,20,1,0,Jul-2019,May-1996,35.76,17.2777,796,800,39.43,May-2020,8.22,WA,500xx
Current,A,A4,Not Verified,vacation,36 months,f,1 year,MORTGAGE,INDIVIDUAL,34544.00,107307.48,0.2195,1,3,10,0,12190.00,32.9141,14,1,0,Jan-2014,Apr-1997,1022.59,7.2996,689,693,1027.07,Mar-2015,1423.97,TX,480xx
Fully Paid,B,B3,Not Verified,debt_consolidation,36 months,w,< 1 year,ANY,INDIVIDUAL,28053.00,234467.14,0.1234,0,2,8,0,20688.84,42.7282,12,1,0,Mar-2018,May-2009,861.51,11.7289,663,667,879.62,Apr-2019,1750.44,FL,810xx
Fully Paid,A,A2,Not Verified,home_improvement,60 months,w,9 years,RENT,INDIVIDUAL,21849.00,116905.99,0.0712,1,0,11,0,2978.58,43.5438,39,2,0,Sep-2019,Sep-2017,426.10,9.4511,634,638,436.50,Mar-2020,863.10,GA,850xx
Current,C,C1,Not Verified,debt_consolidation,36 months,f,2 years,MORTGAGE,INDIVIDUAL,29996.00,110078.75,0.2123,0,2,7,0,13225.68,36.6535,21,3,0,Jan-2018,Dec-2001,964.47,17.5017,690,694,946.92,Jan-2019,732.53,FL,908xx
Fully Paid,A,A1,Not Verified,vacation,36 months,w,8 years,ANY,JOINT,7245.00,160360.63,0.2883,2,0,14,1,17335.82,37.7601,17,0,0,Apr-2017,Apr-2015,230.18,15.9738,602,606,275.05,Jan-2018,305.24,NY,346xx
